,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Status,Latitude,Longitude
26398,65677,Dimension Energy LLC,67533,RB Inyokern Solar WDAT 1203 (CSG),CA,Kern,CISO,IPP Non-CHP,INYO1,19.9,19.9,19.9,Solar Photovoltaic,(OP) Operating,35.655806,-117.8103
26399,65677,Dimension Energy LLC,67534,RB Inyokern Solar WDAT 1281 (CSG),CA,Kern,CISO,IPP Non-CHP,INYO2,11.9,11.9,11.9,Solar Photovoltaic,(OP) Operating,35.659913,-117.8103
26435,64698,"Renewable Solar, Inc",67602,Zonneveld Oak Grove,CA,Fresno,CISO,Industrial Non-CHP,17444,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,36.457362,-119.7636
26436,64698,"Renewable Solar, Inc",67603,River Ranch Dairy,CA,Kings,CISO,Industrial Non-CHP,18821,4,4,4,Solar Photovoltaic,(OP) Operating,36.249006,-119.5829
26502,66355,Bollinger Canyon Road BR 1-X Solar Project 2020,67743,Bishop Ranch BR 1-X,CA,Contra Costa,CISO,IPP Non-CHP,4057C,0.6,0.6,0.6,Solar Photovoltaic,(OP) Operating,37.759761,-121.956
26503,66355,Bollinger Canyon Road BR 1-X Solar Project 2020,67743,Bishop Ranch BR 1-X,CA,Contra Costa,CISO,IPP Non-CHP,4057R,0.3,0.3,0.3,Solar Photovoltaic,(OP) Operating,37.759761,-121.956
26507,60531,Standard Solar,67746,Highway 43 1887-WD,CA,Kern,CISO,IPP Non-CHP,HWY43,2.3,2.3,2.3,Solar Photovoltaic,(OP) Operating,35.528089,-119.311
26508,60531,Standard Solar,67747,Nachtigall 1836-WD,CA,Kern,CISO,IPP Non-CHP,NACHT,4.6,4.6,4.6,Solar Photovoltaic,(OP) Operating,35.608721,-119.3258
26509,60531,Standard Solar,67748,Terry 1818-WD,CA,Kern,CISO,IPP Non-CHP,TERRY,4.6,4.6,4.6,Solar Photovoltaic,(OP) Operating,35.607804,-119.3288
26510,60531,Standard Solar,67750,Kern Sunset 1886-WD,CA,Kern,CISO,IPP Non-CHP,WEEDP,2.4,2.4,2.4,Solar Photovoltaic,(OP) Operating,35.220668,-118.9089
26538,65949,Bravo REC Management LLC,67793,Open Sky Ranch Inc,CA,Fresno,CISO,Industrial Non-CHP,OPSKY,1.7,1.7,1.7,Solar Photovoltaic,(OP) Operating,36.46052,-120.0305
26539,60520,SoCore Energy LLC,67794,City of Atwater NEM,CA,Merced,CISO,IPP Non-CHP,PV1,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,37.274,-120.629
