,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Status,Latitude,Longitude
15110,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42D,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15111,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42E,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15112,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42F,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15113,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42G,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15114,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42H,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15115,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42I,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15116,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42J,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15139,57271,NRG Solar Borrego I,57455,Solar Borrego I,CA,San Diego,CISO,IPP Non-CHP,SB1,26,26,26,Solar Photovoltaic,(OP) Operating,33.298889,-116.3508
15190,56819,CSOLAR IV South LLC,57490,Imperial Solar Energy Center South,CA,Imperial,CISO,IPP Non-CHP,56819,128.9,128.9,128.9,Solar Photovoltaic,(OP) Operating,32.663289,-115.6583
15191,57260,CSOLAR IV West LLC,57491,Imperial Solar Energy Center West,CA,Imperial,CISO,IPP Non-CHP,56819,148.7,148.7,148.7,Solar Photovoltaic,(OP) Operating,32.772225,-115.7793
15196,14328,Pacific Gas & Electric Co.,57497,Stroud Solar Station,CA,Fresno,CISO,Electric Utility,1,20,20,20,Solar Photovoltaic,(OP) Operating,36.531389,-120.1069
15197,14328,Pacific Gas & Electric Co.,57498,Five Points Solar Station,CA,Fresno,CISO,Electric Utility,1,15,15,15,Solar Photovoltaic,(OP) Operating,36.400278,-120.1033
15198,14328,Pacific Gas & Electric Co.,57499,Westside Solar Station,CA,Fresno,CISO,Electric Utility,1,15,15,15,Solar Photovoltaic,(OP) Operating,36.378726,-120.1249
15207,65924,"FRV SI Transport Solar, L.P. (Sacremento)",57506,FRV SI Transport Solar LP,CA,Sacramento,CISO,IPP Non-CHP,SEIM,1,1,1,Solar Photovoltaic,(OP) Operating,38.4869,-121.3911
15218,14328,Pacific Gas & Electric Co.,57521,Giffen,CA,Fresno,CISO,Electric Utility,1,10,10,10,Solar Photovoltaic,(OP) Operating,36.530278,-120.3161
15219,14328,Pacific Gas & Electric Co.,57522,Cantua Solar Station,CA,Fresno,CISO,Electric Utility,1,20,20,20,Solar Photovoltaic,(OP) Operating,36.425085,-120.3435
15220,14328,Pacific Gas & Electric Co.,57523,Huron Solar Station,CA,Fresno,CISO,Electric Utility,1,20,20,20,Solar Photovoltaic,(OP) Operating,36.181389,-120.0306
15239,65411,Duke Energy Renewables Services,57559,Sunset Reservoir North Basin,CA,San Francisco,CISO,IPP Non-CHP,1,4.5,4.5,4.5,Solar Photovoltaic,(OP) Operating,37.750894,-122.4818
15264,17573,South San Joaquin Irr District,57579,Robert O Schulz Solar Farm,CA,Stanislaus,CISO,Electric Utility,1,0.9,0.9,0.4,Solar Photovoltaic,(OP) Operating,37.8583,-120.8917
15265,17573,South San Joaquin Irr District,57579,Robert O Schulz Solar Farm,CA,Stanislaus,CISO,Electric Utility,2,0.4,0.4,0.2,Solar Photovoltaic,(OP) Operating,37.8583,-120.8917
15268,56917,Broadridge Customer Communications,57580,Broadridge Cogen,CA,El Dorado,CISO,IPP CHP,PV1,0.5,0.3,0.2,Solar Photovoltaic,(OP) Operating,38.6183,-121.0564
15269,56917,Broadridge Customer Communications,57580,Broadridge Cogen,CA,El Dorado,CISO,IPP CHP,PV2,0.5,0.5,0.3,Solar Photovoltaic,(OP) Operating,38.6183,-121.0564
15344,56980,"Regulus Solar, LLC",57650,Regulus Solar Project,CA,Kern,CISO,IPP Non-CHP,FRV4,60,60,60,Solar Photovoltaic,(OP) Operating,35.3,-118.8519
15345,17650,Southern Power Co,57651,Adobe Solar,CA,KERN,CISO,IPP Non-CHP,FRV3,20,20,20,Solar Photovoltaic,(OP) Operating,35.102778,-118.9544
15349,56982,Kern Community College District,57655,Bakersfield College Solar 01,CA,Kern,CISO,Commercial Non-CHP,BC01,1.1,1.1,1.1,Solar Photovoltaic,(OP) Operating,35.411817,-118.9686
15350,56984,"Temescal Canyon RV, LLC",57656,"Temescal Canyon RV, LLC",CA,Riverside,CISO,IPP Non-CHP,1,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,33.826389,-117.5117
15385,56995,"Sacramento PV Energy, LLC",57669,SMUD at Grundman,CA,Sacramento,BANC,IPP Non-CHP,PV1,17,18,17,Solar Photovoltaic,(OP) Operating,38.364722,-121.4128
15386,56995,"Sacramento PV Energy, LLC",57670,SMUD at Van Conett,CA,Sacramento,BANC,IPP Non-CHP,PV1,2.9,2.9,2.9,Solar Photovoltaic,(OP) Operating,38.253056,-121.2789
15387,56995,"Sacramento PV Energy, LLC",57671,SMUD at Fleshman,CA,Sacramento,BANC,IPP Non-CHP,PV1,2.9,2.9,2.9,Solar Photovoltaic,(OP) Operating,38.237778,-121.3375
15402,57006,"SunE GIL1, LLC",57682,City of Madera WWTP,CA,Madera,CISO,IPP Non-CHP,1,1,1,1,Solar Photovoltaic,(OP) Operating,36.9408,-120.1572
15403,57007,"SunE WF3-ST Holdings, LLC",57683,"Staples La Mirada, CA",CA,Los Angeles,CISO,IPP Non-CHP,1,1.1,0.9,0.9,Solar Photovoltaic,(OP) Operating,33.881667,-118.0175
15411,59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,CISO,IPP Non-CHP,TPZ1,129.8,129.8,129.8,Solar Photovoltaic,(OP) Operating,35.405556,-120.0686
15412,59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,CISO,IPP Non-CHP,TPZ2,151.2,151.2,151.2,Solar Photovoltaic,(OP) Operating,35.405556,-120.0686
15413,59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,CISO,IPP Non-CHP,TPZ3,102.1,102.1,102.1,Solar Photovoltaic,(OP) Operating,35.405556,-120.0686
15414,59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,CISO,IPP Non-CHP,TPZ4,90.3,90.3,90.3,Solar Photovoltaic,(OP) Operating,35.405556,-120.0686
15415,59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,CISO,IPP Non-CHP,TPZ5,112.5,112.5,112.5,Solar Photovoltaic,(OP) Operating,35.405556,-120.0686
15417,60281,"Altus Power America Management, LLC",57697,Aerojet I,CA,Sacramento,BANC,IPP Non-CHP,1,3,3,3,Solar Photovoltaic,(OP) Operating,38.613508,-121.1629
15418,60281,"Altus Power America Management, LLC",57698,Aerojet II,CA,Sacramento,BANC,IPP Non-CHP,1,2.2,2.2,2.2,Solar Photovoltaic,(OP) Operating,38.6086,-121.1703
15441,57170,"EDF Renewable Asset Holdings, Inc.",57708,Catalina Solar LLC,CA,Kern,CISO,IPP Non-CHP,INV,110,110,110,Solar Photovoltaic,(OP) Operating,34.938261,-118.3345
15449,60025,Greenbacker Renewable Energy Corporation,57722,North Palm Springs 4A,CA,Riverside,CISO,IPP Non-CHP,1,4,4,4,Solar Photovoltaic,(OP) Operating,33.909722,-116.5625
15465,60025,Greenbacker Renewable Energy Corporation,57743,North Palm Springs 1A,CA,Riverside,CISO,IPP Non-CHP,1,2.5,2.4,2.4,Solar Photovoltaic,(OP) Operating,33.924167,-116.5933
15479,56995,"Sacramento PV Energy, LLC",57753,SMUD at Lawrence,CA,Sacramento,BANC,IPP Non-CHP,PV1,1,1,1,Solar Photovoltaic,(OP) Operating,38.338868,-121.4313
15490,61944,MN8 Energy LLC,57764,Naval Air Weapons Station China Lake,CA,Kern,CISO,Commercial Non-CHP,1,11.1,11.1,11.1,Solar Photovoltaic,(OP) Operating,35.68771,-117.6814
15502,65242,"Scale Sustainable I, LLC",57773,Palo Verde College,CA,Riverside,CISO,Commercial Non-CHP,1,1.2,1,1,Solar Photovoltaic,(OP) Operating,33.661667,-114.6517
15507,61944,MN8 Energy LLC,57777,RE Dillard 1 LLC,CA,Sacramento,BANC,IPP Non-CHP,DL1,3,3,3,Solar Photovoltaic,(OP) Operating,38.468611,-121.1819
15508,61944,MN8 Energy LLC,57778,RE Kammerer 1 LLC,CA,Sacramento,BANC,IPP Non-CHP,KAM1,5,5,5,Solar Photovoltaic,(OP) Operating,38.365053,-121.3811
15509,61944,MN8 Energy LLC,57779,RE Dillard 2 LLC,CA,Sacramento,BANC,IPP Non-CHP,DIL2,3,3,3,Solar Photovoltaic,(OP) Operating,38.466111,-121.1778
15510,61944,MN8 Energy LLC,57780,RE Kammerer 2 LLC,CA,Sacramento,BANC,IPP Non-CHP,KAM2,5,5,5,Solar Photovoltaic,(OP) Operating,38.365053,-121.3811
15511,61944,MN8 Energy LLC,57781,RE Dillard 3 LLC,CA,Sacramento,BANC,IPP Non-CHP,DIL3,3,3,3,Solar Photovoltaic,(OP) Operating,38.461944,-121.1803
15512,61944,MN8 Energy LLC,57782,RE Kammerer 3 LLC,CA,Sacramento,BANC,IPP Non-CHP,KAM3,5,5,5,Solar Photovoltaic,(OP) Operating,38.365053,-121.3811
15513,61944,MN8 Energy LLC,57783,RE Bruceville 1 LLC,CA,Sacramento,BANC,IPP Non-CHP,BRU1,5,5,5,Solar Photovoltaic,(OP) Operating,38.3475,-121.4128
15514,61944,MN8 Energy LLC,57784,RE Bruceville 2 LLC,CA,Sacramento,BANC,IPP Non-CHP,BRU2,5,5,5,Solar Photovoltaic,(OP) Operating,38.3475,-121.4128
15515,61944,MN8 Energy LLC,57785,RE Bruceville 3 LLC,CA,Sacramento,BANC,IPP Non-CHP,BRU3,5,5,5,Solar Photovoltaic,(OP) Operating,38.3475,-121.4128
15529,57104,Golden Springs Development Company LLC,57796,Golden Springs Building C-1,CA,Los Angeles,CISO,IPP Non-CHP,1,1.2,1.2,1.2,Solar Photovoltaic,(OP) Operating,33.914167,-118.0536
15530,57104,Golden Springs Development Company LLC,57797,Golden Springs Building D,CA,Los Angeles,CISO,IPP Non-CHP,1,1.3,1.3,1.3,Solar Photovoltaic,(OP) Operating,33.911944,-118.0522
15540,61944,MN8 Energy LLC,57806,RE Dillard 4 LLC,CA,Sacramento,BANC,IPP Non-CHP,DIL4,0.4,0.4,0.4,Solar Photovoltaic,(OP) Operating,38.461944,-121.1803
15547,61944,MN8 Energy LLC,57816,RE McKenzie 1 LLC,CA,Sacramento,BANC,IPP Non-CHP,MCK1,5,5,5,Solar Photovoltaic,(OP) Operating,38.302594,-121.2958
15548,61944,MN8 Energy LLC,57817,RE McKenzie 2 LLC,CA,Sacramento,BANC,IPP Non-CHP,MCK2,5,5,5,Solar Photovoltaic,(OP) Operating,38.302594,-121.2958
15549,61944,MN8 Energy LLC,57818,RE McKenzie 3 LLC,CA,Sacramento,BANC,IPP Non-CHP,MCK3,5,5,5,Solar Photovoltaic,(OP) Operating,38.302594,-121.2958
15550,61944,MN8 Energy LLC,57819,RE McKenzie 4 LLC,CA,Sacramento,BANC,IPP Non-CHP,MCK4,5,5,5,Solar Photovoltaic,(OP) Operating,38.302594,-121.2958
15551,61944,MN8 Energy LLC,57820,RE McKenzie 5 LLC,CA,Sacramento,BANC,IPP Non-CHP,MCK5,5,5,5,Solar Photovoltaic,(OP) Operating,38.302594,-121.2958
15552,61944,MN8 Energy LLC,57821,RE McKenzie 6 LLC,CA,Sacramento,BANC,IPP Non-CHP,MCK6,5,5,5,Solar Photovoltaic,(OP) Operating,38.302594,-121.2958
15556,61012,AES Distributed Energy,57827,Dinuba Wastewater Treatment Plant,CA,Tulare,CISO,Commercial Non-CHP,DSPV,1,1,1,Solar Photovoltaic,(OP) Operating,36.538056,-119.4264
15560,57154,Heliocentric LLC,57831,Heliocentric,CA,Los Angeles,CISO,IPP Non-CHP,1,1.5,1.3,1.5,Solar Photovoltaic,(OP) Operating,34.65434,-117.971
15565,57159,L-8 Solar Project LLC,57836,L-8 Solar Project,CA,Los Angeles,CISO,IPP Non-CHP,TSM,1.5,1.3,1.5,Solar Photovoltaic,(OP) Operating,34.654347,-117.9731
15571,59139,SunEdison LLC,57840,ISH Solar Hospital SDMC,CA,San Diego,CISO,IPP Non-CHP,1,1.1,1.1,1.1,Solar Photovoltaic,(OP) Operating,32.791667,-117.0953
15572,59139,SunEdison LLC,57841,ISH Solar Hospital Downey,CA,Los Angeles,CISO,IPP Non-CHP,1,1.1,1.1,1.1,Solar Photovoltaic,(OP) Operating,33.921667,-118.1244
15576,57177,"SIT Renewables, Inc.",57849,Green Acres Solar Facility 1,CA,Sacramento,BANC,IPP Non-CHP,GASF1,3,2.8,2,Solar Photovoltaic,(OP) Operating,38.282021,-121.4647
15577,57177,"SIT Renewables, Inc.",57850,Green Acres Solar Facility 2,CA,Sacramento,BANC,IPP Non-CHP,GASF2,1,0.9,0.7,Solar Photovoltaic,(OP) Operating,38.28357,-121.4613
15582,56918,University of California San Diego,57856,Univ of California San Diego Solar,CA,San Diego,CISO,Commercial Non-CHP,SGU1,1,1,1,Solar Photovoltaic,(OP) Operating,32.874379,-117.2389
15585,57194,City of Industry,57860,Industry MetroLink PV 1,CA,Los Angeles,CISO,Electric Utility,1,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,34.008661,-117.8456
15623,57213,Castle Rock Cooling,57870,Castle Rock Vineyards,CA,Tulare,CISO,Commercial Non-CHP,SOLAR,1,1,1,Solar Photovoltaic,(OP) Operating,35.801111,-119.1106
15624,11208,Los Angeles Department of Water & Power,57871,2555 E Olympic Bl,CA,Los Angeles,LDWP,Commercial Non-CHP,1,1,1,1,Solar Photovoltaic,(OP) Operating,34.026944,-118.2242
15665,14328,Pacific Gas & Electric Co.,57891,Guernsey Solar Station,CA,Kings,CISO,Electric Utility,1,20,20,20,Solar Photovoltaic,(OP) Operating,36.163889,-119.6506
15666,14328,Pacific Gas & Electric Co.,57892,Gates Solar Station,CA,Fresno,CISO,Electric Utility,1,20,20,20,Solar Photovoltaic,(OP) Operating,36.176389,-120.1142
15668,57262,Kern County Water Agency,57895,Improvement Dst No. 4,CA,Kern,CISO,Commercial Non-CHP,ID4,1.1,1.1,1.1,Solar Photovoltaic,(OP) Operating,35.402778,-119.0386
15691,57273,SS San Antonio West LLC,57904,San Antonio West Solar Rooftop,CA,Riverside,CISO,IPP Non-CHP,CHNO,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,33.965617,-117.6591
15723,58101,Solar Star California II LLC,57933,Solar Star California II LLC,CA,Sacramento,BANC,IPP Non-CHP,1,2,2,2,Solar Photovoltaic,(OP) Operating,38.516389,-121.4753
15752,49893,Invenergy Services LLC,57959,Desert Green Solar Farm LLC,CA,San Diego,CISO,IPP Non-CHP,1,6.3,6.3,6.3,Solar Photovoltaic,(OP) Operating,33.27055,-116.3481
15760,57345,Butte-Glenn Community College District,57970,Butte College Main Campus Solar,CA,Butte,CISO,Commercial Non-CHP,SOL1,3.5,3.6,3.5,Solar Photovoltaic,(OP) Operating,39.648056,-121.6442
15773,65432,CVI CleanCapital Solar 1 LLC,57982,Meridian Vineyards,CA,San Luis Obispo,CISO,IPP Non-CHP,PV-1,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,35.670278,-120.5669
15774,65432,CVI CleanCapital Solar 1 LLC,57982,Meridian Vineyards,CA,San Luis Obispo,CISO,IPP Non-CHP,PV-2,0.6,0.6,0.6,Solar Photovoltaic,(OP) Operating,35.670278,-120.5669
15791,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL1,40.3,40.3,40.3,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15792,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL10,30.2,30.2,30.2,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15793,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL11,20.2,20.2,20.2,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15794,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL2,40.3,40.3,40.3,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15795,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL3,40.3,40.3,40.3,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15796,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL4,30.2,30.2,30.2,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15797,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL5,25.2,25.2,25.2,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15798,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL6,25.2,25.2,25.2,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15799,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL7,20.2,20.2,20.2,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15800,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL8,18.9,18.9,18.9,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15801,58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,CISO,IPP Non-CHP,DSL9,22.7,22.7,22.7,Solar Photovoltaic,(OP) Operating,33.823056,-115.3939
15818,56769,Consolidated Edison Development Inc.,58002,Alpaugh North,CA,Tulare,CISO,IPP Non-CHP,SPS,20,20,20,Solar Photovoltaic,(OP) Operating,35.9025,-119.4428
15819,56769,Consolidated Edison Development Inc.,58003,Alpaugh 50,CA,Tulare,CISO,IPP Non-CHP,SPS50,50,50,50,Solar Photovoltaic,(OP) Operating,35.898333,-119.4353
15861,57389,IKEA Property Inc,58028,IKEA Tejon 345,CA,Kern,CISO,Commercial Non-CHP,PV,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,34.975278,-118.9469
15865,60281,"Altus Power America Management, LLC",58034,Nickel 1 Solar Facility,CA,Kern,CISO,IPP Non-CHP,1,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,35.647295,-119.7165
15870,60898,Axium US Solar Holdings LLC,58039,Axium Modesto Solar,CA,Stanislaus,CISO,IPP Non-CHP,1,25,25,25,Solar Photovoltaic,(OP) Operating,37.734167,-120.9956
15899,63952,"Irwindale Brew Yard, LLC",58056,"Irwindale Brew Yard, LLC",CA,Los Angeles,CISO,Industrial Non-CHP,PV,2.5,0.8,0.8,Solar Photovoltaic,(OP) Operating,34.121667,-117.9383
15905,9216,Imperial Irrigation District,58062,Imperial Valley Solar Company 1 LLC,CA,Imperial,IID,Electric Utility,0001,23,23,23,Solar Photovoltaic,(OP) Operating,33.245833,-115.4967
15915,65432,CVI CleanCapital Solar 1 LLC,58073,SEPV 1,CA,Los Angeles,CISO,IPP Non-CHP,SEPV,2,2,2,Solar Photovoltaic,(OP) Operating,34.618861,-117.9394
15916,65432,CVI CleanCapital Solar 1 LLC,58074,SEPV 2,CA,San Bernardino,CISO,IPP Non-CHP,SEPV,2,2,2,Solar Photovoltaic,(OP) Operating,34.174167,-116.1528
15918,65164,CleanCapital Holdings,58076,Edwards Air Force Base,CA,Kern,CISO,IPP Non-CHP,1,1,1,1,Solar Photovoltaic,(OP) Operating,34.9077,-117.9206
15919,65164,CleanCapital Holdings,58076,Edwards Air Force Base,CA,Kern,CISO,IPP Non-CHP,2,1,1,1,Solar Photovoltaic,(OP) Operating,34.9077,-117.9206
15920,65164,CleanCapital Holdings,58076,Edwards Air Force Base,CA,Kern,CISO,IPP Non-CHP,3,1,1,1,Solar Photovoltaic,(OP) Operating,34.9077,-117.9206
15933,57313,Tesla Inc.,58086,Intel Folsom,CA,Sacramento,BANC,IPP Non-CHP,1,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,38.645119,-121.173
15934,57313,Tesla Inc.,58086,Intel Folsom,CA,Sacramento,BANC,IPP Non-CHP,2,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,38.645119,-121.173
15972,65432,CVI CleanCapital Solar 1 LLC,58118,La Joya Del Sol,CA,Fresno,CISO,IPP Non-CHP,JDS1,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,36.678611,-119.7975
15973,62034,Depot Park Solar Farm,58119,Depot Park Solar System,CA,Sacramento,BANC,IPP Non-CHP,DPSS,3,2.7,1,Solar Photovoltaic,(OP) Operating,38.515,-121.3983
16010,58111,RE Kansas South LLC,58148,RE Kansas South LLC,CA,Kings,CISO,IPP Non-CHP,KS,20,20,20,Solar Photovoltaic,(OP) Operating,36.226111,-119.8342
16011,58112,TA-High Desert LLC,58149,TA-High Desert LLC,CA,Los Angeles,CISO,IPP Non-CHP,TAHD,20,20,20,Solar Photovoltaic,(OP) Operating,34.708889,-118.3047
16051,58104,California State University at Fullerton,58169,CSUF Trigeneration,CA,Orange,CISO,Commercial CHP,CPAC,0.3,0.3,0.3,Solar Photovoltaic,(OP) Operating,33.880638,-117.8866
16052,58104,California State University at Fullerton,58169,CSUF Trigeneration,CA,Orange,CISO,Commercial CHP,KHS,0.3,0.3,0.3,Solar Photovoltaic,(OP) Operating,33.880638,-117.8866
16053,58104,California State University at Fullerton,58169,CSUF Trigeneration,CA,Orange,CISO,Commercial CHP,NPS,2,2,2,Solar Photovoltaic,(OP) Operating,33.880638,-117.8866
16054,58104,California State University at Fullerton,58169,CSUF Trigeneration,CA,Orange,CISO,Commercial CHP,PS4,0.3,0.3,0.3,Solar Photovoltaic,(OP) Operating,33.880638,-117.8866
16055,58104,California State University at Fullerton,58169,CSUF Trigeneration,CA,Orange,CISO,Commercial CHP,PS5,0.4,0.4,0.4,Solar Photovoltaic,(OP) Operating,33.880638,-117.8866
16056,58104,California State University at Fullerton,58169,CSUF Trigeneration,CA,Orange,CISO,Commercial CHP,SCPS,1,1,1,Solar Photovoltaic,(OP) Operating,33.880638,-117.8866
16106,61944,MN8 Energy LLC,58202,RE Victor Phelan Solar One LLC,CA,San Bernardino,CISO,IPP Non-CHP,VPS1,20,20,20,Solar Photovoltaic,(OP) Operating,34.51231,-117.4775
16108,56751,Yolo County of,58204,Grassland 3&4 Solar Project,CA,Yolo,CISO,IPP Non-CHP,INV3,2,2.5,1.5,Solar Photovoltaic,(OP) Operating,38.500278,-121.6942
16110,14328,Pacific Gas & Electric Co.,58206,West Gates Solar Station,CA,Fresno,CISO,Electric Utility,1,10,10,10,Solar Photovoltaic,(OP) Operating,36.142222,-120.1325
16132,56751,Yolo County of,58217,Grassland 1&2 Solar Project,CA,Yolo,CISO,IPP Non-CHP,INV4,2,2.5,1.5,Solar Photovoltaic,(OP) Operating,38.500278,-121.6942
16145,58197,Newberry Solar 1 LLC,58226,Newberry Solar 1 LLC,CA,San Bernardino,CISO,IPP Non-CHP,1,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,34.853581,-116.6831
16146,65411,Duke Energy Renewables Services,58227,SEPV9 Power Plant,CA,San Bernardino,CISO,IPP Non-CHP,SPV9,9,8.5,8.8,Solar Photovoltaic,(OP) Operating,34.192222,-116.0903
16149,61012,AES Distributed Energy,58232,Tahquitz High School,CA,Riverside,CISO,Commercial Non-CHP,TAHQ,1,1,1,Solar Photovoltaic,(OP) Operating,33.767222,-117.0175
16151,65411,Duke Energy Renewables Services,58234,SEPV 8,CA,San Bernardino,CISO,IPP Non-CHP,SPV8,12,11.8,11.8,Solar Photovoltaic,(OP) Operating,34.171944,-116.1525
16165,61012,AES Distributed Energy,58244,West Valley High School Solar,CA,Riverside,CISO,Commercial Non-CHP,WEST,1,0.9,0.9,Solar Photovoltaic,(OP) Operating,33.719722,-117.0097
16172,57276,Los Angeles Community College District,58248,Pierce College,CA,Los Angeles,LDWP,Commercial Non-CHP,GEN1,1.9,1.9,1.9,Solar Photovoltaic,(OP) Operating,34.183611,-118.5747
16173,59553,VA Sepulveda Ambulatory Care Center,58249,VA Sepulveda Ambulatory Care Center,CA,Los Angeles,LDWP,Commercial Non-CHP,GEN1,4.4,3.5,3.5,Solar Photovoltaic,(OP) Operating,34.248889,-118.4833
16178,63330,"Televison City Studios, LLC.",58253,CBS Television City,CA,Los Angeles,LDWP,Commercial Non-CHP,GEN1,1.6,1.6,1.6,Solar Photovoltaic,(OP) Operating,34.075,-118.36
16205,58238,Enfinity NorCal 1 FAA LLC,58261,FAA NorCal TRACON,CA,Sacramento,BANC,IPP Non-CHP,1,1,1,1,Solar Photovoltaic,(OP) Operating,38.559533,-121.2576
16255,59455,"Venable Solar, LLC",58289,Venable Solar 1,CA,Riverside,CISO,IPP Non-CHP,VNPV,1.5,1.5,1.1,Solar Photovoltaic,(OP) Operating,33.598889,-114.5717
16256,59455,"Venable Solar, LLC",58290,Venable Solar 2,CA,Riverside,CISO,IPP Non-CHP,VSPV,1.5,1.5,1.1,Solar Photovoltaic,(OP) Operating,33.597222,-114.5717
16267,60281,"Altus Power America Management, LLC",58304,Kingsburg Solar,CA,Tulare,CISO,IPP Non-CHP,1,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,36.505278,-119.5403
16268,60281,"Altus Power America Management, LLC",58304,Kingsburg Solar,CA,Tulare,CISO,IPP Non-CHP,2,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,36.505278,-119.5403
16269,60281,"Altus Power America Management, LLC",58304,Kingsburg Solar,CA,Tulare,CISO,IPP Non-CHP,3,0.7,0.7,0.7,Solar Photovoltaic,(OP) Operating,36.505278,-119.5403
16271,60281,"Altus Power America Management, LLC",58306,Exeter Solar,CA,Tulare,CISO,IPP Non-CHP,1,1,1,1,Solar Photovoltaic,(OP) Operating,36.2675,-119.1286
16272,60281,"Altus Power America Management, LLC",58306,Exeter Solar,CA,Tulare,CISO,IPP Non-CHP,2,1,1,1,Solar Photovoltaic,(OP) Operating,36.2675,-119.1286
16273,60281,"Altus Power America Management, LLC",58306,Exeter Solar,CA,Tulare,CISO,IPP Non-CHP,3,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,36.2675,-119.1286
16274,60281,"Altus Power America Management, LLC",58307,Ivanhoe Solar,CA,Tulare,CISO,IPP Non-CHP,1,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,36.3875,-119.255
